Priority 1
['Afghanistan']
['Angola']
['Benin']
['Botswana']
['Burkina Faso']
['Burundi']
['Cameroon']
['Central African Republic']
['Chad']
['Comoros']
"['Congo, Dem. Rep.']"
"['Congo, Rep.']"
"[""Cote d'Ivoire""]"
['Equatorial Guinea']
['Eritrea']
['Gabon']
['Gambia']
['Ghana']
['Guinea']
['Guinea-Bissau']
['Haiti']
['Iraq']
['Kenya']
['Kiribati']
['Lao']
['Lesotho']
['Liberia']
['Madagascar']
['Malawi']
['Mali']
['Mauritania']
['Mozambique']
['Namibia']
['Niger']
['Nigeria']
['Pakistan']
['Rwanda']
['Senegal']
['Sierra Leone']
['South Africa']
['Sudan']
['Tanzania']
['Timor-Leste']
['Togo']
['Uganda']
['Yemen']
['Zambia']
